VPVS_RATIO,P_IMPEDANCE,PHI
1.8295,12131688.0,0.0894
1.8367,12181954.0,0.0877
1.8456,12244991.0,0.0855
1.8727,12442001.0,0.0791
1.8523,12479270.0,0.0756
1.8467,12485959.0,0.0747
1.8184,12519854.0,0.0699
1.8167,12582707.0,0.0682
1.8147,12650778.0,0.0663
1.8137,12684962.0,0.0654
1.8230000000000002,12732971.0,0.0636
1.8385,12841723.0,0.0608
1.8359,12844570.0,0.0603
1.8292,12851911.0,0.059000000000000004
1.814,12910018.0,0.055999999999999994
1.8091,13002044.0,0.0543
1.8086,13012235.0,0.0542
1.8009,13162211.0,0.0516
1.7997,13133306.0,0.0518
1.7986,13091800.0,0.052000000000000005
1.7978,13060320.0,0.0522
1.8014,13065850.0,0.0549
1.8073,13052082.0,0.0593
1.8076,13047787.0,0.0597
1.8099,13014078.0,0.0626
1.8141,12942501.0,0.0681
1.8005,12941667.0,0.0707
1.7996,12941587.0,0.0709
1.7759,12936974.0,0.0755
1.7682,12933306.0,0.0773
1.7623,12918580.0,0.0788
1.7555,12901687.0,0.0804
1.7495,12823320.0,0.0826
1.7399,12674151.0,0.0861
1.7396,12669108.0,0.0862
1.7454,12588141.0,0.0892
1.7547,12463787.0,0.0941
1.7648,12421434.0,0.0944
1.7678,12408972.0,0.0945
1.7892,12377799.0,0.0953
1.7985,12490118.0,0.0923
1.8042,12573190.0,0.0905
1.8143,12720440.0,0.0874
1.8107,12903992.0,0.0842
1.8056,13153481.0,0.0796
1.8047,13192856.0,0.0788
1.795,13251046.0,0.078
1.7789,13282808.0,0.0767
1.7778,13247875.0,0.0776
1.777,13225168.0,0.0782
1.7741,13104033.0,0.0807
1.7574,12899120.0,0.0838
1.7503,12818952.0,0.0851
1.7309,12598581.0,0.0888
1.75,12344768.0,0.0935
1.7729,12076797.0,0.0993
1.7798,11996836.0,0.1011
1.774,11930336.0,0.1076
1.7648,11835492.0,0.1184
1.7619,11819619.0,0.1193
1.7583,11799495.0,0.1205
1.7477,11713084.0,0.1238
1.7595,11886269.0,0.1175
1.7627,11923702.0,0.1158
1.7796,12122982.0,0.1071
1.7857,12315416.0,0.1
1.7926,12489682.0,0.0923
1.7962,12580839.0,0.0884
1.7811,12683943.0,0.0824
1.7552,12807382.0,0.0724
1.7547,12818747.0,0.0715
1.7534,12849449.0,0.0692
1.7502,12951437.0,0.0638
1.7371,12993551.0,0.0638
1.7358,13005748.0,0.0639
1.7149,13199956.0,0.064
1.7006,13269708.0,0.0666
1.6873,13424919.0,0.0691
1.6768,13546994.0,0.0711
1.671,13639087.0,0.0758
1.6615,13856909.0,0.0835
1.6624,13862223.0,0.084
1.6701,13907142.0,0.0881
1.6840000000000002,13969816.0,0.0956
1.6813,13876692.0,0.0982
1.6811,13869979.0,0.0984
1.6767,13645149.0,0.1029
1.6864,13764890.0,0.1021
1.6938,13819168.0,0.1015
1.7026,13883079.0,0.1007
1.6759,13542610.0,0.0978
1.6363,12964133.0,0.0931
1.6348,12942769.0,0.0929
1.6219999999999999,12746784.0,0.092
1.6017,12377835.0,0.0903
1.6151,12299928.0,0.0903
1.6191,12276131.0,0.0903
1.6476,12076133.0,0.0902
1.6752,12015585.0,0.0903
1.6916,11976110.0,0.0903
1.7209,11905661.0,0.0903
1.7486,11946591.0,0.0915
1.7890000000000001,12029262.0,0.0931
1.7955,12042786.0,0.0934
1.804,11978347.0,0.095
1.818,11915229.0,0.0976
1.8206,11924627.0,0.0973
1.8223,11930921.0,0.0972
1.8295,12031932.0,0.0966
1.8272,12102843.0,0.0958
1.8262,12147902.0,0.0954
1.8234,12278641.0,0.0944
1.8298,12396945.0,0.0941
1.838,12568174.0,0.0936
1.8406,12622727.0,0.0935
1.8419,12680862.0,0.094
1.8441,12746800.0,0.0947
1.8414,12726758.0,0.0964
1.8379,12700553.0,0.0986
1.8279,12596050.0,0.105
1.8287,12534675.0,0.1116
1.8289,12517764.0,0.1133
1.8301,12427706.0,0.1223
1.8339,12351903.0,0.1245
1.838,12266554.0,0.127
1.8401,12222913.0,0.1282
1.8525,12177622.0,0.1265
1.8727,12099209.0,0.1236
1.8748,12093988.0,0.1226
1.8804,12079585.0,0.1197
1.893,12027209.0,0.1132
1.8947,12044600.0,0.109
1.8948,12044621.0,0.1086
1.8973,12045092.0,0.1021
1.8929,12073603.0,0.099
1.8888,12083102.0,0.0962
1.8855,12090657.0,0.094
1.8747,12105925.0,0.0946
1.8567,12138905.0,0.0955
1.8563,12140922.0,0.0958
1.8528,12159328.0,0.0989
1.8463,12247880.0,0.1044
1.8383,12289446.0,0.1058
1.8376,12292850.0,0.106
1.8231,12421592.0,0.1086
1.8188,12486695.0,0.1078
1.8156,12542736.0,0.1072
1.8117,12609779.0,0.1065
1.8093,12641611.0,0.1061
1.8055,12676529.0,0.1055
1.8053,12678049.0,0.1055
1.8103,12734267.0,0.1064
1.8186,12806657.0,0.10800000000000001
1.8261,12838995.0,0.1097
1.8285,12849296.0,0.1102
1.845,12901217.0,0.1139
1.8457,12946760.0,0.1165
1.8461,12967532.0,0.1181
1.8469,13005485.0,0.1209
1.8321,12948861.0,0.1231
1.8116,12874851.0,0.1262
1.8082,12862603.0,0.1267
1.7987,12681829.0,0.1293
1.7836,12427759.0,0.1335
1.777,12351821.0,0.1361
1.7725,12299983.0,0.1379
1.7548,12102168.0,0.1452
1.7444,11965272.0,0.1518
1.7401,11902929.0,0.1546
1.7278,11723682.0,0.1626
1.7263,11552116.0,0.1673
1.7245,11320745.0,0.1731
1.724,11247908.0,0.175
1.7203,11138842.0,0.1679
1.7143,10949204.0,0.1563
1.7156,10970960.0,0.1502
1.7172,11000538.0,0.1418
1.7221,11069306.0,0.1179
1.7334,11232221.0,0.1121
1.7363,11270051.0,0.1106
1.7528,11486490.0,0.1026
1.7643,11690929.0,0.1039
1.7772,11940441.0,0.1052
1.7843,12077036.0,0.1059
1.8015,12171142.0,0.1084
1.8308,12433489.0,0.1125
1.8334,12450034.0,0.1135
1.841,12497606.0,0.1164
1.8581,12686914.0,0.1227
1.8459,12683659.0,0.1275
1.8449,12684244.0,0.128
1.8262,12694967.0,0.1355
1.8130000000000002,12646267.0,0.1349
1.8012,12570505.0,0.1343
1.7919,12510436.0,0.1338
1.7866,12430560.0,0.1291
1.7782,12237556.0,0.1212
1.7772,12234509.0,0.1206
1.7667,12204646.0,0.1147
1.7480000000000002,12089413.0,0.1039
1.7484,12174251.0,0.0985
1.7485,12181894.0,0.098
1.7494,12305377.0,0.0884
1.7528,12378039.0,0.0873
1.7554,12449393.0,0.0865
1.7586,12537351.0,0.0856
1.7655,12592062.0,0.0905
1.7766,12758219.0,0.0982
1.7771,12766288.0,0.0985
1.7907,12763827.0,0.1048
1.8131,12833465.0,0.115
1.8184,12785973.0,0.1175
1.8201,12770379.0,0.1183
1.8314,12642915.0,0.1236
1.8314,12604094.0,0.1248
1.8315,12546963.0,0.1254
1.8316,12442438.0,0.1267
1.8452,12383042.0,0.1285
1.8641,12242291.0,0.1312
1.8674,12218171.0,0.1316
1.8627,12157445.0,0.1343
1.855,12081217.0,0.1386
1.8519999999999999,12047539.0,0.1395
1.8499,12023680.0,0.1401
1.8417,11997265.0,0.1427
1.8345,11984863.0,0.1408
1.8315,11990153.0,0.1401
1.8227,12006090.0,0.1378
1.8182,12005803.0,0.1338
1.8127,12004828.0,0.1288
1.8109,12004481.0,0.1272
1.8042,12030243.0,0.1247
1.7932,12039929.0,0.1207
1.7885,12040389.0,0.1199
1.7819999999999998,12041099.0,0.1189
1.7636,12008758.0,0.1161
1.82,12064529.0,0.11599999999999999
1.8339,12078674.0,0.11599999999999999
1.9143,12160566.0,0.1159
1.9029,12120346.0,0.1187
1.8909,12102370.0,0.1217
1.8844,12092741.0,0.1233
1.8549,11998797.0,0.1277
1.8073,11865467.0,0.135
1.8063,11846289.0,0.136
1.8035,11789738.0,0.1388
1.7973,11645058.0,0.1449
1.7936,11532309.0,0.1476
1.7933,11521931.0,0.1478
1.7876,11315705.0,0.152
1.7938,11268811.0,0.152
1.7994,11215067.0,0.1519
1.804,11171116.0,0.1518
1.8157,11223508.0,0.1477
1.8353,11325813.0,0.1409
1.8347,11331159.0,0.1404
1.8288,11389156.0,0.1346
1.8179,11542034.0,0.1241
1.8149,11676126.0,0.11800000000000001
1.8146,11689390.0,0.1174
1.8090000000000002,12000231.0,0.1064
1.8130000000000002,12211308.0,0.1004
1.8161,12387269.0,0.0959
1.8199,12609174.0,0.0905
1.828,12775570.0,0.0873
1.8409,13033401.0,0.0824
1.8416,13047073.0,0.0821
1.8485,13149151.0,0.0802
1.86,13269766.0,0.077
1.8618,13264269.0,0.0741
1.8625,13262405.0,0.073
1.8665,13205142.0,0.0665
1.857,13197117.0,0.0628
1.8516,13184092.0,0.0606
1.8414,13159602.0,0.0565
1.8207,13081492.0,0.0552
1.7923,12975819.0,0.0534
1.7873,12957150.0,0.0531
1.7892,12937111.0,0.0565
1.7924,12912427.0,0.0622
1.7902,12837292.0,0.0649
1.7886,12782948.0,0.067
1.7824,12564446.0,0.0749
1.7859,12465795.0,0.0774
1.7872,12418223.0,0.0784
1.7914,12273754.0,0.0815
1.7998,12299625.0,0.0856
1.8102,12310105.0,0.0907
1.8138,12313677.0,0.0924
1.8226,12270745.0,0.0983
1.8372,12223839.0,0.10800000000000001
1.8361,12202560.0,0.1114
1.8344,12172057.0,0.1162
1.8299,12166112.0,0.1297
1.8527,12104330.0,0.1385
1.8581,12098484.0,0.1406
1.8897,12064306.0,0.1531
1.885,11959447.0,0.1567
1.8802,11842310.0,0.1605
1.8775,11779546.0,0.1625
1.8836,11719565.0,0.1598
1.8933,11558897.0,0.1552
1.8889,11535239.0,0.1546
1.8754,11462720.0,0.1527
1.8466,11230639.0,0.1485
1.8511,11195367.0,0.1474
1.8514,11190927.0,0.1474
1.8585,11092002.0,0.1456
1.8529,11074198.0,0.1448
1.8478,11062979.0,0.1441
1.8435,11053553.0,0.1435
1.8452,11051836.0,0.1423
1.848,11113546.0,0.1405
1.8477,11115003.0,0.1404
1.8437,11132353.0,0.1391
1.8364,11233098.0,0.1367
1.8343,11288314.0,0.1345
1.8341,11294197.0,0.1343
1.8303,11429208.0,0.1303
1.8295,11529579.0,0.1264
1.8288,11604981.0,0.1236
1.828,11700456.0,0.1201
1.8242,11816507.0,0.1135
1.818,12001954.0,0.1033
1.8176,12012644.0,0.1027
1.8226,12186072.0,0.0961
1.831,12488562.0,0.0852
1.8196,12586573.0,0.0834
1.8156,12621694.0,0.0827
1.7897,12854127.0,0.0786
1.7954,12987745.0,0.0776
1.7986,13061796.0,0.0771
1.8048,13205421.0,0.0761
1.7916,13285464.0,0.0761
1.7731,13394132.0,0.0763
1.7696,13414205.0,0.0763
1.7646,13514307.0,0.0795
1.7561,13680924.0,0.0846
1.7619,13675100.0,0.0896
1.7663,13670707.0,0.0934
1.7828,13649395.0,0.1077
1.7974,13526187.0,0.1165
1.8032,13468921.0,0.12
1.8208,13292280.0,0.131
1.8337,13058099.0,0.1347
1.8488,12723140.0,0.1391
1.8538,12610982.0,0.1406
1.8303,12330345.0,0.1427
1.7937,11817101.0,0.1462
1.8114,11737473.0,0.1474
1.8372,11621182.0,0.1492
1.9069,11300939.0,0.1542
1.9093,11151980.0,0.1562
1.9099,11127887.0,0.1567
1.9133,10981316.0,0.1595
1.8991,10940948.0,0.1599
1.8841,10939852.0,0.1603
1.8758,10939216.0,0.1605
1.8653,10957174.0,0.16
1.848,10983758.0,0.1592
1.8459999999999999,10982623.0,0.1594
1.8398,10978993.0,0.1602
1.8263,10928002.0,0.1618
1.8199,10901299.0,0.1644
1.8195,10899171.0,0.1645
1.8094,10846345.0,0.1685
1.819,10787602.0,0.1691
1.8274,10747479.0,0.1697
1.8346,10713548.0,0.1701
1.829,10679666.0,0.1676
1.8198,10643527.0,0.1633
1.8197,10642861.0,0.1631
1.8183,10634344.0,0.1601
1.8158,10619236.0,0.1548
1.8016,10657376.0,0.154
1.8,10661763.0,0.154
1.7736,10740613.0,0.1526
1.7706,10775871.0,0.1567
1.7684,10810433.0,0.1596
1.7656,10854803.0,0.1634
1.7754,10854393.0,0.1671
1.7905,10869256.0,0.1729
1.7914,10870206.0,0.1732
1.8004,10850552.0,0.1709
1.8151,10800349.0,0.16699999999999998
1.8284,10808020.0,0.1643
1.8332,10810844.0,0.1633
1.8631,10782039.0,0.1571
1.87,10776727.0,0.1539
1.8739,10763734.0,0.1522
1.8815,10738352.0,0.1487
1.8772,10660217.0,0.1477
1.8712,10560745.0,0.1464
1.8701,10542019.0,0.1462
1.8774,10468255.0,0.1475
1.8893,10374709.0,0.1496
1.882,10319387.0,0.1508
1.8765,10276965.0,0.1517
1.8557,10131381.0,0.1551
1.8572,10078619.0,0.1579
1.8578,10057032.0,0.1589
1.8596,9988068.0,0.1624
1.8521,9946863.0,0.1657
1.8430000000000002,9897822.0,0.1697
1.8398,9880618.0,0.1711
1.8406,9896741.0,0.175
1.8419,9938844.0,0.1815
1.8425,9942265.0,0.1827
1.8435,9947474.0,0.1845
1.8463,9971359.0,0.1894
1.8416,9979282.0,0.1897
1.8405,9980404.0,0.1897
1.8337,9987597.0,0.1901
1.8393,10015087.0,0.1885
1.8451,10029328.0,0.1868
1.8484,10037435.0,0.1859
1.8469,10074296.0,0.1827
1.8443,10129824.0,0.1775
1.8462,10169007.0,0.1767
1.8525,10302195.0,0.174
1.8667,10636568.0,0.1682
1.8619,10772427.0,0.1654
1.8616,10782603.0,0.1652
1.8539,11072521.0,0.1607
1.8162,11087893.0,0.1577
1.7832,11117320.0,0.1551
1.7549,11142580.0,0.1528
1.7581,11184004.0,0.1497
1.7633,11216624.0,0.1446
1.7622,11217408.0,0.1445
1.7458,11228665.0,0.1428
1.7171,11198183.0,0.1397
1.7177,11288546.0,0.1401
1.7178,11299765.0,0.1402
1.719,11474713.0,0.1409
1.7387,11658236.0,0.1419
1.7533,11803588.0,0.1427
1.7725,11996687.0,0.1436
1.7888,12057320.0,0.1423
1.814,12138431.0,0.1403
1.8157,12143824.0,0.1402
1.8163,12148632.0,0.1384
1.8173,12117390.0,0.1355
1.8152,12115705.0,0.1345
1.8143,12115041.0,0.1341
1.8095,12099182.0,0.1318
1.8062,12076141.0,0.1314
1.8043,12068923.0,0.1312
1.8007,12054542.0,0.1307
1.807,12119965.0,0.1313
1.8159,12213142.0,0.1322
1.8176,12231561.0,0.1323
1.8141,12222109.0,0.1337
1.8083,12195131.0,0.136
1.8085,12185491.0,0.1361
1.8088,12177857.0,0.1363
1.8096,12139560.0,0.1367
1.808,12119713.0,0.1349
1.8074,12110200.0,0.1343
1.8055,12079023.0,0.132
1.8015,12080067.0,0.1286
1.7965,12085786.0,0.1245
1.7947,12087801.0,0.12300000000000001
1.7929,12114078.0,0.1194
1.7898,12182515.0,0.1135
1.7892,12196985.0,0.1126
1.7884,12219566.0,0.1111
1.7861,12306902.0,0.107
1.7829,12335761.0,0.1071
1.7822,12342141.0,0.1071
1.7775,12384230.0,0.1072
1.7773,12422184.0,0.1092
1.7772,12447265.0,0.1114
1.7771,12461795.0,0.1126
1.775,12472873.0,0.1159
1.7717,12474164.0,0.1213
1.7723,12468923.0,0.1222
1.7743,12450819.0,0.1253
1.7786,12408263.0,0.1318
1.7658,12334642.0,0.1358
1.7651,12330748.0,0.136
1.745,12206804.0,0.1424
1.7718,12087093.0,0.1461
1.795,11970684.0,0.1493
1.815,11869972.0,0.1522
1.8169,11697844.0,0.1546
1.8198,11390663.0,0.1587
1.8198,11384603.0,0.1588
1.8203,11284933.0,0.1614
1.8211,11109247.0,0.1658
1.8192,11035127.0,0.1703
1.8189,11025366.0,0.1709
1.8152,10920873.0,0.1792
1.8101,10909458.0,0.1836
1.8064,10918396.0,0.1868
1.8016,10930211.0,0.1909
1.7909,10951828.0,0.1875
1.7743,11001639.0,0.1821
1.7743,11001668.0,0.1821
1.7731,11005232.0,0.1817
1.8247,11087144.0,0.1656
1.911,11219144.0,0.1392
1.9293,11417659.0,0.1289
1.9366,11498065.0,0.1248
1.9816,11988984.0,0.1011
2.0103,12187721.0,0.1036
2.0263,12311601.0,0.105
2.0596,12569951.0,0.1078
2.0499,12614556.0,0.1161
2.0366,12708155.0,0.1275
2.0339,12727066.0,0.1298
1.9831,12571047.0,0.1376
1.903,12311594.0,0.1504
1.8806,12195994.0,0.152
1.8627,12103380.0,0.1534
1.7999,11715188.0,0.1584
1.7938,11599349.0,0.1564
1.7916,11547764.0,0.1556
1.7841,11376680.0,0.153
1.7798,11379281.0,0.1477
1.7747,11395023.0,0.1413
1.7727,11400832.0,0.139
1.7706,11471293.0,0.1346
1.7669,11626252.0,0.1274
1.7668,11661139.0,0.1264
1.7668,11717640.0,0.1247
1.7665,11880089.0,0.1201
1.7725,12010235.0,0.1186
1.7737,12035943.0,0.1183
1.7825,12214751.0,0.1161
1.7955,12299888.0,0.1124
1.8091,12379454.0,0.1085
1.8172,12426739.0,0.1061
1.815,12457261.0,0.0991
1.8113,12521013.0,0.0876
1.8086,12541946.0,0.0864
1.7988,12618226.0,0.0821
1.7778,12827041.0,0.0732
1.7765,13030200.0,0.07
1.7765,13040662.0,0.0698
1.7744,13439369.0,0.0646
1.7763,13743241.0,0.0642
1.7781,14020559.0,0.0638
1.7797,14275177.0,0.0634
1.7817,14566529.0,0.064
1.7851,14999987.0,0.065
1.785,15008095.0,0.065
1.7828,15163657.0,0.0656
1.7789,15356540.0,0.0666
1.7726,15301878.0,0.0697
1.7717,15294172.0,0.0701
1.7599,15160539.0,0.076
1.7526,15053344.0,0.0815
1.7476,14970843.0,0.0853
1.7409,14861233.0,0.0905
1.7444,14726542.0,0.0941
1.7495,14504993.0,0.0996
1.7499,14488250.0,0.1
1.7598,14371703.0,0.1002
1.776,14182209.0,0.1005
1.7798,14092576.0,0.0998
1.7813,14056171.0,0.0995
1.7899,13861701.0,0.0979
1.7915,13772641.0,0.09699999999999999
1.7924,13726491.0,0.0964
1.7941,13631607.0,0.0953
1.7953,13515747.0,0.0948
1.7969,13359410.0,0.094
1.7972,13327225.0,0.0939
1.7944,13211153.0,0.094
1.7897,13020501.0,0.0941
1.7914,12997434.0,0.0946
1.7927,12978067.0,0.095
1.7977,12911249.0,0.0966
1.7971,12894770.0,0.0985
1.7968,12892642.0,0.0992
1.7961,12885278.0,0.1016
1.8014,12920169.0,0.1041
1.8078,12975277.0,0.107
1.8102,12996162.0,0.1081
1.8066,12974695.0,0.1105
1.8006,12928607.0,0.1143
1.7996,12910045.0,0.1152
1.798,12879457.0,0.1166
1.7937,12777625.0,0.1204
1.7979,12683896.0,0.1231
1.7987,12663838.0,0.1237
1.8047,12522378.0,0.1276
1.8004,12357116.0,0.1303
1.7961,12192972.0,0.1331
1.7936,12096289.0,0.1347
1.7951,11992813.0,0.1365
1.7976,11842299.0,0.1394
1.798,11818260.0,0.1396
1.7992,11728268.0,0.1403
1.8018,11580239.0,0.1416
1.8044,11560918.0,0.1411
1.8045,11561274.0,0.1411
1.8087,11576751.0,0.1404
1.8128,11614365.0,0.1389
1.8165,11654175.0,0.1377
1.8198,11690352.0,0.1365
1.8162,11742964.0,0.1351
1.8104,11810498.0,0.1326
1.81,11813005.0,0.1326
1.8022,11868528.0,0.1323
1.7886,11922230.0,0.1319
1.7956,11919607.0,0.1337
1.7967,11919216.0,0.134
1.81,11880710.0,0.1373
1.8029,11842783.0,0.1412
1.798,11805825.0,0.1439
1.7913,11755458.0,0.1477
1.7839,11651567.0,0.1519
1.7728,11475567.0,0.1584
1.7719,11461445.0,0.159
1.7798,11332867.0,0.1619
1.7926,11140023.0,0.1668
1.7918,11079980.0,0.1667
1.7914,11054710.0,0.1666
1.7894,10963688.0,0.1663
1.8028,10972844.0,0.1633
1.81,10988132.0,0.1617
1.825,11020451.0,0.1583
1.8263,11081316.0,0.1547
1.8282,11148344.0,0.1498
1.8286,11162783.0,0.1487
1.8334,11213112.0,0.1455
1.8415,11277716.0,0.1403
1.8457,11290124.0,0.1384
1.8494,11300860.0,0.1367
1.8624,11377923.0,0.1309
1.8497,11408900.0,0.1273
1.845,11437936.0,0.126
1.8285,11540940.0,0.1213
1.8265,11675658.0,0.1162
1.824,11879573.0,0.1101
1.8231,11958727.0,0.1077
1.8130000000000002,12170666.0,0.1014
1.7961,12520669.0,0.0911
1.7948,12637736.0,0.0889
1.7925,12841080.0,0.085
1.7863,13338771.0,0.075
1.7772,13666469.0,0.0718
1.7754,13723248.0,0.0712
1.7614,14157318.0,0.0666
1.7422,14383559.0,0.0705
1.722,14568996.0,0.0746
1.7094,14684790.0,0.0771
1.6926,14609600.0,0.0878
1.6652,14388547.0,0.1056
1.6657,14326244.0,0.1073
1.6678,14085157.0,0.1142
1.6719,13560716.0,0.1283
1.6878,13154816.0,0.1323
1.6883,13143719.0,0.1324
1.7126,12550209.0,0.1387
1.7291,12283051.0,0.1404
1.7429,12087910.0,0.142
1.7553,11911835.0,0.1434
1.7646,11722832.0,0.1437
1.7794,11468119.0,0.1443
1.7799,11466208.0,0.1443
1.7942,11415061.0,0.1434
1.8185,11362938.0,0.1419
1.8216,11391489.0,0.1396
1.8221,11396064.0,0.1393
1.828,11495473.0,0.1348
1.8265,11569213.0,0.1311
1.8255,11641907.0,0.1285
1.8241,11743571.0,0.1249
1.835,11848924.0,0.1214
1.8519,12040241.0,0.11599999999999999
1.8533,12056805.0,0.1155
1.8624,12147703.0,0.1107
1.8775,12291734.0,0.1027
1.8803,12368530.0,0.0987
1.8815,12402211.0,0.09699999999999999
1.8881,12561119.0,0.0876
1.8579,12741687.0,0.0816
1.8418,12829311.0,0.0784
1.8068,13020920.0,0.0716
1.7967,13238274.0,0.0674
1.7826,13498729.0,0.0617
1.7794,13557347.0,0.0604
1.7695,13801166.0,0.0599
1.7525,14143379.0,0.0592
1.7512,14252186.0,0.0602
1.7501,14350639.0,0.0612
1.746,14660966.0,0.0645
1.7421,14704609.0,0.068
1.7407,14718480.0,0.0693
1.7357,14769299.0,0.0738
1.7337,14665161.0,0.0778
1.7314,14545857.0,0.0825
1.7304,14499218.0,0.0844
1.7317,14347258.0,0.08800000000000001
1.7338,14110230.0,0.0939
1.7331,14022792.0,0.0949
1.7319,13870977.0,0.0968
1.729,13516322.0,0.1015
1.7368,13336672.0,0.1051
1.7383,13307935.0,0.1058
1.7493,13090126.0,0.111
1.7543,12924530.0,0.1151
1.7592,12791749.0,0.1193
1.7623,12710821.0,0.1219
1.7639,12592022.0,0.1225
1.7665,12428972.0,0.1235
1.7668,12426581.0,0.12300000000000001
1.768,12416610.0,0.1207
1.7703,12362432.0,0.1162
1.7732,12361544.0,0.1149
1.7732,12360726.0,0.1149
1.7779,12301964.0,0.113
1.7819999999999998,12359295.0,0.1137
1.7856,12401074.0,0.1144
1.7890000000000001,12440760.0,0.115
1.7853,12492112.0,0.1177
1.7791,12610095.0,0.1222
1.7788,12608232.0,0.1223
1.7703,12546862.0,0.1253
1.7561,12451093.0,0.1303
1.7491,12369882.0,0.1303
1.7479,12356255.0,0.1303
1.7345,12188175.0,0.1303
1.7347,12084549.0,0.1262
1.7347,12018085.0,0.1235
1.7349,11925291.0,0.1195
1.7366,11867137.0,0.1162
1.7392,11797368.0,0.1111
1.7395,11791070.0,0.1107
1.7388,11854358.0,0.1081
1.7375,11954648.0,0.1038
1.744,12007409.0,0.1029
1.7469999999999999,12031379.0,0.1025
1.7627,12147742.0,0.1002
1.781,12194975.0,0.1001
1.7905,12227544.0,0.1001
1.8115,12299622.0,0.0999
1.8197,12327294.0,0.1008
1.8308,12429752.0,0.1021
1.8333,12453057.0,0.1023
1.8338,12446927.0,0.1024
1.8346,12478005.0,0.1024
1.8122,12426119.0,0.1005
1.7919,12379302.0,0.0988
1.724,12200352.0,0.0929
1.7335,12239638.0,0.0879
1.7368,12243046.0,0.0861
1.749,12255806.0,0.0796
1.7469999999999999,12408032.0,0.075
1.7447,12562869.0,0.0696
1.7437,12625951.0,0.0674
1.7456,12831480.0,0.0641
1.7488,13137156.0,0.0587
1.7462,13180820.0,0.0587
1.7416,13260744.0,0.0586
1.7294,13452935.0,0.0584
1.7128,13522461.0,0.0614
1.7097,13539198.0,0.062
1.6848,13675448.0,0.0665
1.6941,13750719.0,0.0727
1.7036,13853545.0,0.0791
1.7096,13919195.0,0.083
1.7372,13975391.0,0.0872
1.7828,14073620.0,0.094
1.7815,14068240.0,0.0937
1.7757,14045258.0,0.0922
1.7641,13991602.0,0.0891
1.7656,13845415.0,0.0864
1.7657,13843074.0,0.0863
1.7681,13598383.0,0.0818
1.7835,13611399.0,0.0793
1.7964,13609424.0,0.0772
1.8087,13607497.0,0.0752
1.8121,13688262.0,0.0731
1.8177,13793444.0,0.0696
1.8177,13794240.0,0.0696
1.8161,13829268.0,0.0685
1.8135,13893953.0,0.0666
1.8119999999999998,13881949.0,0.0673
1.8117,13879802.0,0.0674
1.8088,13889623.0,0.0686
1.8075,13886971.0,0.0717
1.8066,13900691.0,0.0738
1.8053,13920477.0,0.0769
1.8092,13977508.0,0.0813
1.8151,14060622.0,0.0879
1.8157,14068690.0,0.0886
1.8164,14070345.0,0.0902
1.8175,14030356.0,0.0929
1.8166,14003253.0,0.0907
1.8161,13990685.0,0.0897
1.8139,13874281.0,0.0846
1.8131,13828420.0,0.0797
1.8126,13800267.0,0.0772
1.8116,13737313.0,0.0716
1.8098,13738149.0,0.0687
1.8073,13777489.0,0.0649
1.8067,13786727.0,0.064
1.8081,13836429.0,0.0653
1.8104,13988439.0,0.0673
1.8041,13959949.0,0.0697
1.7982,13933261.0,0.0719
1.7784,13884201.0,0.0795
1.7804,13887676.0,0.0843
1.7811,13888703.0,0.0859
1.7836,13892664.0,0.0922
1.784,13820893.0,0.0938
1.7843,13735294.0,0.0957
1.7845,13700779.0,0.0964
1.7867,13681556.0,0.0945
1.7903,13648704.0,0.0912
1.7938,13691894.0,0.0901
1.8002,13773066.0,0.0881
1.8168,13974597.0,0.0829
1.8176,14075285.0,0.0797
1.8178,14089398.0,0.0792
1.819,14209071.0,0.0745
1.8226,14356332.0,0.0732
1.8263,14464857.0,0.07200000000000001
1.8287,14535784.0,0.0712
1.824,14526950.0,0.0719
1.8162,14448636.0,0.0731
1.8151,14431073.0,0.0731
1.8103,14352117.0,0.073
1.8006,14157371.0,0.0728
1.8135,14079182.0,0.0718
1.8136,14078596.0,0.0718
1.8348,13958450.0,0.07
1.8106,13970680.0,0.0692
1.7901,13990818.0,0.0684
1.7699,14010646.0,0.0678
1.7633,14020095.0,0.0692
1.7523,14053171.0,0.0715
1.7524,14052562.0,0.0716
1.7567,14014029.0,0.0765
1.7638,13983345.0,0.0847
1.7852,13880583.0,0.0903
1.7893,13861342.0,0.0914
1.8304,13705795.0,0.1026
1.8099,13398881.0,0.1091
1.7967,13219750.0,0.1135
1.778,12966448.0,0.1198
1.7834,12802551.0,0.1253
1.7912,12584596.0,0.1336
1.7919999999999998,12562986.0,0.1344
1.7931,12482684.0,0.139
1.7949,12380800.0,0.1464
1.8042,12357777.0,0.1489
1.8087,12346744.0,0.15
1.8311,12298673.0,0.1559
1.8186,12249569.0,0.1568
1.8124,12218230.0,0.1573
1.7985,12147557.0,0.1583
1.7989,12017292.0,0.1574
1.7995,11829066.0,0.1562
1.7996,11784965.0,0.1559
1.8028,11768579.0,0.1529
1.8081,11752199.0,0.14800000000000002
1.8081,11766020.0,0.1454
1.8082,11779397.0,0.1429
1.8084,11849386.0,0.1345
1.8082,11952332.0,0.1289
1.8081,11989499.0,0.127
1.8077,12136387.0,0.1196
1.8068,12286382.0,0.1153
1.8058,12452070.0,0.1104
1.8053,12522311.0,0.1083
1.8019,12634786.0,0.1059
1.7961,12779121.0,0.102
1.7944,12812145.0,0.1017
